Partner_transaction_id,Transaction_id,Amount,Rmb_amount,Fee,Refund,Settlement,Rmb_settlement,Currency,Rate,Payment_time,Settlement_time,Type
1826781925534936390,2023022222001164891445517882,17.22,119.00,,,,,USD,6.911300,2023-02-22 14:44:57,,P
1825847256965297387,2023022222001107021420937863,34.58,239.00,,,,,USD,6.911300,2023-02-22 11:27:22,,P
3214775628105076045,2023022222001172781436784322,34.74,239.00,0.00,34.74,0.00,0.00,USD,6.878700,2023-02-22 09:10:59,,P
3215384389997827736,2023022222001178051453944274,58.70,403.79,,,,,USD,6.878700,2023-02-22 07:52:53,,P
3215251981133958932,2023022122001191601457414288,28.06,193.03,,,,,USD,6.878700,2023-02-21 23:48:05,,P
1825975094044313370,2023022122001164581425128831,36.20,249.00,,,,,USD,6.878700,2023-02-21 16:11:10,,P
1825794123971411884,2023022122001199081433228810,17.30,119.00,,,,,USD,6.878700,2023-02-21 12:34:27,,P
1824915900415608189,2023022122001115771427664245,12.50,86.00,,,,,USD,6.878700,2023-02-21 10:59:14,,P
3213549146380485640,2023022022001171251430531511,12.92,89.00,,,,,USD,6.888800,2023-02-20 23:10:50,,P
3213472718797602255,2023022022001171841418135521,12.92,89.00,,,,,USD,6.888800,2023-02-20 22:21:21,,P
3212179020325728006,2023022022001150391403515205,17.27,119.00,,,,,USD,6.888800,2023-02-20 19:26:56,,P
3212608789545226545,2023022022001165991427271060,37.60,259.00,,,,,USD,6.888800,2023-02-20 17:06:58,,P
3212087439782913838,2023022022001119851440601071,36.15,249.00,,,,,USD,6.888900,2023-02-20 07:39:19,,P
3211543549558925239,2023022022001105601436196215,7.76,53.46,,,,,USD,6.888900,2023-02-20 03:44:07,,P
3211714119084386751,2023021922001183091441520080,17.27,119.00,,,,,USD,6.888900,2023-02-19 21:21:04,,P
3209448169909284641,2023021922001130781423208001,12.92,89.00,,,,,USD,6.888900,2023-02-19 03:13:58,,P
3208718628116194404,2023021922001117531455481618,36.15,249.00,9.29,,26.86,185.04,USD,6.888900,2023-02-19 01:27:11,,P
1822880820403636393,2023021922001147641412920066,13.65,94.00,0.00,13.65,0.00,0.00,USD,6.888900,2023-02-19 00:00:18,,P
1823498689366239392,2023021822001119461431710798,32.52,224.00,0.00,32.52,0.00,0.00,USD,6.888900,2023-02-18 21:10:54,,P
1822753416110239392,2023021822001119461431246643,32.52,224.00,0.00,32.52,0.00,0.00,USD,6.888900,2023-02-18 21:09:20,,P
1823512839932239392,2023021822001119461431238459,31.06,214.00,0.00,31.06,0.00,0.00,USD,6.888900,2023-02-18 21:01:10,,P
1823492282024239392,2023021822001119461431888649,36.87,254.00,0.00,36.87,0.00,0.00,USD,6.888900,2023-02-18 21:00:11,,P
